"","site","Month","mon_mean","temporal","dataset_name","long_dd","lat_dd","CHELSA1.2","CHELSA2.1","CHELSA_EarthEnv","CHPclim","WorldClim2.1","CHIRPS2.0","CHELSAW5E5v1.0","TerraClimate","PBCOR_CHELSA1.2","PBCOR_CHPclim","PBCOR_WorldClim2.1"
"1135","GAMBOA",7,240.095161290323,"1970-2000","PBCOR WorldClim 2.1",-79.693876,9.111649,258,286.799987792969,255.130722045898,293.959625244141,262,270.002655029297,265.403564453125,240.600006103516,294,293.959625244141,262
"1136","GAMBOA",8,248.861290322581,"1970-2000","PBCOR WorldClim 2.1",-79.693876,9.111649,252,299.600006103516,267.636413574219,286.739837646484,302,278.788269042969,272.648254394531,284.299987792969,296,286.739837646484,276
"1137","GAMBOA",9,277.916774193548,"1970-2000","PBCOR WorldClim 2.1",-79.693876,9.111649,230,305.600006103516,282.633575439453,272.077117919922,257,294.05126953125,278.174530029297,246.899993896484,273,272.077117919922,299
"1138","GAMBOA",10,321.105161290323,"1970-2000","PBCOR WorldClim 2.1",-79.693876,9.111649,306,358.100006103516,310.105010986328,342.435699462891,319,348.526428222656,335.503112792969,326.5,356,342.435699462891,320
"1139","GAMBOA",11,264.848064516129,"1970-2000","PBCOR WorldClim 2.1",-79.693876,9.111649,343,397,362.639282226562,401.806213378906,335,373.333740234375,355.597717285156,370,402,401.806213378906,322
"1140","GAMBOA",12,114.398064516129,"1970-2000","PBCOR WorldClim 2.1",-79.693876,9.111649,188,194.5,180.518569946289,201.356079101562,138,173.411865234375,194.475067138672,157.699996948242,221,201.356079101562,142
"1141","GUACHA",1,82.2958064516129,"1970-2000","PBCOR WorldClim 2.1",-79.938878,9.176367,80,91.1999969482422,50.5215377807617,94.4859771728516,57,76.1607055664062,72.1126937866211,66.3000030517578,87.4983978271484,116.401847839355,42.7781105041504
"1142","GUACHA",2,33.5195333333333,"1970-2000","PBCOR WorldClim 2.1",-79.938878,9.176367,43,39.4000015258789,43.1361541748047,32.5083084106445,15,27.3514099121094,41.1392097473145,17.6000003814697,47.1645088195801,40.1222534179688,22.9634323120117
"1143","GUACHA",3,30.5138666666667,"1970-2000","PBCOR WorldClim 2.1",-79.938878,9.176367,37,50.2999992370605,41.4678573608398,28.0824928283691,22,28.9573993682861,40.620792388916,25.6000003814697,40.4267921447754,34.6599426269531,50.1020660400391
"1144","GUACHA",4,126.381933333333,"1970-2000","PBCOR WorldClim 2.1",-79.938878,9.176367,107,146.800003051758,166.925720214844,88.1007385253906,115,123.187591552734,122.962371826172,121.099998474121,117.719627380371,108.429000854492,160.643936157227
"1145","GUACHA",5,235.373333333333,"1970-2000","PBCOR WorldClim 2.1",-79.938878,9.176367,311,350.299987792969,340.387145996094,292.223449707031,412,267.488891601562,273.206146240234,382.200012207031,339.426727294922,357.088104248047,319.741333007812
"1146","GUACHA",6,230.293333333333,"1970-2000","PBCOR WorldClim 2.1",-79.938878,9.176367,288,320.5,281.05712890625,306.978546142578,300,278.198486328125,263.656219482422,272.600006103516,313.244720458984,374.074432373047,288.320129394531
"1147","GUACHA",7,223.858666666667,"1970-2000","PBCOR WorldClim 2.1",-79.938878,9.176367,309,348.399993896484,293.882843017578,323.944946289062,287,289.045928955078,274.442993164062,299.399993896484,339.075378417969,395.137664794922,384.16259765625
"1148","GUACHA",8,241.43,"1970-2000","PBCOR WorldClim 2.1",-79.938878,9.176367,316,356,303.677856445312,308.234802246094,273,291.256652832031,273.700866699219,285,343.496215820312,375.897369384766,296.697540283203
"1149","GUACHA",9,242.993333333333,"1970-2000","PBCOR WorldClim 2.1",-79.938878,9.176367,299,334,310.435729980469,241.258850097656,289,255.606170654297,266.203552246094,229,322.229339599609,294.096405029297,290.424774169922
"1150","GUACHA",10,291.761333333333,"1970-2000","PBCOR WorldClim 2.1",-79.938878,9.176367,380,395,324.302856445312,368.238739013672,396,364.003143310547,317.916381835938,387,409.007873535156,448.522827148438,411.10205078125
"1151","GUACHA",11,321.616551724138,"1970-2000","PBCOR WorldClim 2.1",-79.938878,9.176367,446,538.099975585938,473.726440429688,456.124267578125,326,411.496337890625,367.200286865234,377.899993896484,490.869934082031,556.568969726562,251.964202880859
